Kabupaten/Kota,Sambal jadi,Tahun,Provinsi
Majalengka,23,2019,Jawa Barat
Sumedang,27,2019,Jawa Barat
Indramayu,66,2019,Jawa Barat
Subang,50,2019,Jawa Barat
Purwakarta,80,2019,Jawa Barat
Karawang,73,2019,Jawa Barat
Bekasi,102,2019,Jawa Barat
Bandung Barat,40,2019,Jawa Barat
Pangandaran,33,2019,Jawa Barat
Depok,172,2019,Jawa Barat
Cimahi,219,2019,Jawa Barat
Banjar,30,2019,Jawa Barat
Cilacap,5,2019,Jawa Tengah
Banyumas,18,2019,Jawa Tengah
Purbalingga,14,2019,Jawa Tengah
Banjarnegara,5,2019,Jawa Tengah
Kebumen,17,2019,Jawa Tengah
Purworejo,13,2019,Jawa Tengah
Wonosobo,15,2019,Jawa Tengah
Magelang,15,2019,Jawa Tengah
Boyolali,17,2019,Jawa Tengah
Klaten,41,2019,Jawa Tengah
Sukoharjo,57,2019,Jawa Tengah
Wonogiri,17,2019,Jawa Tengah
Karanganyar,13,2019,Jawa Tengah
Sragen,25,2019,Jawa Tengah
Grobogan,10,2019,Jawa Tengah
Blora,18,2019,Jawa Tengah
Rembang,11,2019,Jawa Tengah
Pati,6,2019,Jawa Tengah
Kudus,7,2019,Jawa Tengah
Jepara,23,2019,Jawa Tengah
Demak,28,2019,Jawa Tengah
Semarang,15,2019,Jawa Tengah
Temanggung,10,2019,Jawa Tengah
Kendal,34,2019,Jawa Tengah
Batang,11,2019,Jawa Tengah
Pekalongan,14,2019,Jawa Tengah
Pemalang,39,2019,Jawa Tengah
Tegal,33,2019,Jawa Tengah
Brebes,28,2019,Jawa Tengah
Surakarta,48,2019,Jawa Tengah
Salatiga,67,2019,Jawa Tengah
Kulon Progo,34,2019,D.I. Yogyakarta
Bantul,59,2019,D.I. Yogyakarta
Gunung Kidul,16,2019,D.I. Yogyakarta
Sleman,69,2019,D.I. Yogyakarta
Yogyakarta,81,2019,D.I. Yogyakarta
Pacitan,22,2019,Jawa Timur
Ponorogo,36,2019,Jawa Timur
Trenggalek,13,2019,Jawa Timur
Tulungagung,27,2019,Jawa Timur
Blitar,53,2019,Jawa Timur
Kediri,36,2019,Jawa Timur
Malang,18,2019,Jawa Timur
Lumajang,9,2019,Jawa Timur
Jember,2,2019,Jawa Timur
Banyuwangi,17,2019,Jawa Timur
Bondowoso,9,2019,Jawa Timur
Situbondo,51,2019,Jawa Timur
Probolinggo,23,2019,Jawa Timur
Pasuruan,19,2019,Jawa Timur
Sidoarjo,147,2019,Jawa Timur
Mojokerto,53,2019,Jawa Timur
Jombang,22,2019,Jawa Timur
Nganjuk,74,2019,Jawa Timur
Madiun,55,2019,Jawa Timur
Magetan,54,2019,Jawa Timur
Ngawi,26,2019,Jawa Timur
Bojonegoro,10,2019,Jawa Timur
Tuban,4,2019,Jawa Timur
Lamongan,8,2019,Jawa Timur
Gresik,27,2019,Jawa Timur
Bangkalan,10,2019,Jawa Timur
Sampang,1,2019,Jawa Timur
Pamekasan,6,2019,Jawa Timur
Sumenep,25,2019,Jawa Timur
Surabaya,53,2019,Jawa Timur
Batu,75,2019,Jawa Timur
Pandeglang,23,2019,Banten
Lebak,55,2019,Banten
Tangerang,135,2019,Banten
Serang,51,2019,Banten
Cilegon,80,2019,Banten
Tangerang Selatan,153,2019,Banten
Jembrana,4,2019,Bali
Tabanan,37,2019,Bali
Badung,169,2019,Bali
Gianyar,23,2019,Bali
Klungkung,70,2019,Bali
Bangli,18,2019,Bali
Karangasem,5,2019,Bali
Buleleng,19,2019,Bali
Denpasar,97,2019,Bali
Lombok Barat,27,2019,Nusa Tenggara Barat
Lombok Tengah,15,2019,Nusa Tenggara Barat
Lombok Timur,16,2019,Nusa Tenggara Barat
Sumbawa,15,2019,Nusa Tenggara Barat
Dompu,16,2019,Nusa Tenggara Barat
Bima,27,2019,Nusa Tenggara Barat
Sumbawa Barat,56,2019,Nusa Tenggara Barat
Lombok Utara,,2019,Nusa Tenggara Barat
Mataram,52,2019,Nusa Tenggara Barat
Sumba Barat,6,2019,Nusa Tenggara Timur
Sumba Timur,2,2019,Nusa Tenggara Timur
Kupang,5,2019,Nusa Tenggara Timur
Timor Tengah Selatan,1,2019,Nusa Tenggara Timur
Timor Tengah Utara,8,2019,Nusa Tenggara Timur
Belu,6,2019,Nusa Tenggara Timur
Alor,20,2019,Nusa Tenggara Timur
Lembata,31,2019,Nusa Tenggara Timur
Flores Timur,24,2019,Nusa Tenggara Timur
Sikka,19,2019,Nusa Tenggara Timur
Ende,9,2019,Nusa Tenggara Timur
Ngada,22,2019,Nusa Tenggara Timur
Manggarai,12,2019,Nusa Tenggara Timur
Rote Ndao,25,2019,Nusa Tenggara Timur
Manggarai Barat,34,2019,Nusa Tenggara Timur
Sumba Tengah,0,2019,Nusa Tenggara Timur
Sumba Barat Daya,,2019,Nusa Tenggara Timur
Nagekeo,2,2019,Nusa Tenggara Timur
Manggarai Timur,6,2019,Nusa Tenggara Timur
Sabu Raijua,14,2019,Nusa Tenggara Timur
Malaka,2,2019,Nusa Tenggara Timur
Sambas,22,2019,Kalimantan Barat
Bengkayang,13,2019,Kalimantan Barat
Landak,15,2019,Kalimantan Barat
Mempawah,35,2019,Kalimantan Barat
Sanggau,47,2019,Kalimantan Barat
Ketapang,57,2019,Kalimantan Barat
Sintang,20,2019,Kalimantan Barat
Kapuas Hulu,57,2019,Kalimantan Barat
Sekadau,32,2019,Kalimantan Barat
Melawi,3,2019,Kalimantan Barat
Kayong Utara,45,2019,Kalimantan Barat
Kubu Raya,60,2019,Kalimantan Barat
Pontianak,100,2019,Kalimantan Barat
Singkawang,72,2019,Kalimantan Barat
Kotawaringin Barat,32,2019,Kalimantan Tengah
Kotawaringin Timur,55,2019,Kalimantan Tengah
Kapuas,45,2019,Kalimantan Tengah
Barito Selatan,123,2019,Kalimantan Tengah
Barito Utara,74,2019,Kalimantan Tengah
Sukamara,98,2019,Kalimantan Tengah
Lamandau,28,2019,Kalimantan Tengah
Seruyan,64,2019,Kalimantan Tengah
Katingan,53,2019,Kalimantan Tengah
Pulang Pisau,35,2019,Kalimantan Tengah
Gunung Mas,57,2019,Kalimantan Tengah
Barito Timur,49,2019,Kalimantan Tengah
Murung Raya,82,2019,Kalimantan Tengah
Palangka Raya,70,2019,Kalimantan Tengah
Tanah Laut,21,2019,Kalimantan Selatan
Kotabaru,88,2019,Kalimantan Selatan
Barito Kuala,42,2019,Kalimantan Selatan
Tapin,50,2019,Kalimantan Selatan
Hulu Sungai Selatan,37,2019,Kalimantan Selatan
Hulu Sungai Tengah,39,2019,Kalimantan Selatan
Hulu Sungai Utara,46,2019,Kalimantan Selatan
Tabalong,40,2019,Kalimantan Selatan
Tanah Bumbu,74,2019,Kalimantan Selatan
Balangan,50,2019,Kalimantan Selatan
Banjarmasin,100,2019,Kalimantan Selatan
Banjar Baru,111,2019,Kalimantan Selatan
Paser,54,2019,Kalimantan Timur
Kutai Barat,47,2019,Kalimantan Timur
Kutai Kartanegara,75,2019,Kalimantan Timur
Kutai Timur,82,2019,Kalimantan Timur
Berau,187,2019,Kalimantan Timur
Penajam Paser Utara,93,2019,Kalimantan Timur
Mahakam Ulu,26,2019,Kalimantan Timur
Balikpapan,121,2019,Kalimantan Timur
Samarinda,121,2019,Kalimantan Timur
Bontang,133,2019,Kalimantan Timur
Malinau,22,2019,Kalimantan Utara
Bulungan,64,2019,Kalimantan Utara
Tana Tidung,138,2019,Kalimantan Utara
Nunukan,96,2019,Kalimantan Utara
Tarakan,107,2019,Kalimantan Utara
Bolaang Mongondow,8,2019,Sulawesi Utara
Minahasa,5,2019,Sulawesi Utara
Kepulauan Sangihe,16,2019,Sulawesi Utara
Kepulauan Talaud,11,2019,Sulawesi Utara
Minahasa Selatan,14,2019,Sulawesi Utara
Minahasa Utara,64,2019,Sulawesi Utara
Bolaang Mongondow Utara,13,2019,Sulawesi Utara
Siau Tagulandang Biaro,22,2019,Sulawesi Utara
Minahasa Tenggara,16,2019,Sulawesi Utara
Bolaang Mongondow Selatan,7,2019,Sulawesi Utara
Bolaang Mongondow Timur,14,2019,Sulawesi Utara
Manado,62,2019,Sulawesi Utara
Bitung,74,2019,Sulawesi Utara
Tomohon,14,2019,Sulawesi Utara
Kotamobagu,19,2019,Sulawesi Utara
Banggai Kepulauan,1,2019,Sulawesi Tengah
Banggai,20,2019,Sulawesi Tengah
Morowali,95,2019,Sulawesi Tengah
Poso,14,2019,Sulawesi Tengah
Donggala,19,2019,Sulawesi Tengah
Toli-Toli,20,2019,Sulawesi Tengah
Buol,3,2019,Sulawesi Tengah
Parigi Moutong,0,2019,Sulawesi Tengah
Tojo Una-Una,26,2019,Sulawesi Tengah
Sigi,12,2019,Sulawesi Tengah
Banggai Laut,26,2019,Sulawesi Tengah
Morowali Utara,32,2019,Sulawesi Tengah
Palu,72,2019,Sulawesi Tengah
Kepulauan Selayar,164,2019,Sulawesi Selatan
Bulukumba,86,2019,Sulawesi Selatan
Bantaeng,78,2019,Sulawesi Selatan
Jeneponto,67,2019,Sulawesi Selatan
Takalar,58,2019,Sulawesi Selatan
Gowa,77,2019,Sulawesi Selatan
Sinjai,56,2019,Sulawesi Selatan
Maros,116,2019,Sulawesi Selatan
Pangkajene dan Kepulauan,96,2019,Sulawesi Selatan
Barru,45,2019,Sulawesi Selatan
Bone,64,2019,Sulawesi Selatan
Soppeng,84,2019,Sulawesi Selatan
Wajo,132,2019,Sulawesi Selatan
Sidenreng Rappang,52,2019,Sulawesi Selatan
Pinrang,33,2019,Sulawesi Selatan
Enrekang,34,2019,Sulawesi Selatan
Luwu,23,2019,Sulawesi Selatan
Tana Toraja,3,2019,Sulawesi Selatan
Luwu Utara,56,2019,Sulawesi Selatan
Luwu Timur,99,2019,Sulawesi Selatan
Toraja Utara,29,2019,Sulawesi Selatan
Makasar,159,2019,Sulawesi Selatan
Parepare,113,2019,Sulawesi Selatan
Palopo,104,2019,Sulawesi Selatan
Buton,45,2019,Sulawesi Tenggara
Muna,28,2019,Sulawesi Tenggara
Konawe,32,2019,Sulawesi Tenggara
Kolaka,88,2019,Sulawesi Tenggara
Konawe Selatan,29,2019,Sulawesi Tenggara
Bombana,108,2019,Sulawesi Tenggara
Wakatobi,76,2019,Sulawesi Tenggara
Kolaka Utara,72,2019,Sulawesi Tenggara
Buton Utara,43,2019,Sulawesi Tenggara
Konawe Utara,98,2019,Sulawesi Tenggara
Kolaka Timur,35,2019,Sulawesi Tenggara
Konawe Kepulauan,43,2019,Sulawesi Tenggara
Muna Barat,13,2019,Sulawesi Tenggara
Buton Tengah,23,2019,Sulawesi Tenggara
Buton Selatan,26,2019,Sulawesi Tenggara
Kendari,154,2019,Sulawesi Tenggara
Baubau,91,2019,Sulawesi Tenggara
Boalemo,4,2019,Gorontalo
Gorontalo,13,2019,Gorontalo
Pohuwato,8,2019,Gorontalo
Bone Bolango,11,2019,Gorontalo
Gorontalo Utara,1,2019,Gorontalo
Majene,100,2019,Sulawesi Barat
Polewali Mandar,31,2019,Sulawesi Barat
Mamasa,11,2019,Sulawesi Barat
Mamuju,24,2019,Sulawesi Barat
Mamuju Utara,40,2019,Sulawesi Barat
Mamuju Tengah,29,2019,Sulawesi Barat
Maluku Tenggara Barat,36,2019,Maluku
Maluku Tenggara,50,2019,Maluku
Maluku Tengah,11,2019,Maluku
Buru,29,2019,Maluku
Kepulauan Aru,46,2019,Maluku
Seram Bagian Barat,11,2019,Maluku
Seram Bagian Timur,48,2019,Maluku
Maluku Barat Daya,42,2019,Maluku
Buru Selatan,46,2019,Maluku
Ambon,57,2019,Maluku
Tual,61,2019,Maluku
Halmahera Barat,53,2019,Maluku Utara
Halmahera Tengah,91,2019,Maluku Utara
Kepulauan Sula,18,2019,Maluku Utara
Halmahera Selatan,54,2019,Maluku Utara
Halmahera Utara,17,2019,Maluku Utara
Halmahera Timur,9,2019,Maluku Utara
Pulau Morotai,23,2019,Maluku Utara
Pulau Taliabu,26,2019,Maluku Utara
Ternate,34,2019,Maluku Utara
Tidore Kepulauan,32,2019,Maluku Utara
Fakfak,47,2019,Papua Barat
Kaimana,85,2019,Papua Barat
Teluk Wondama,69,2019,Papua Barat
Teluk Bintuni,93,2019,Papua Barat
Manokwari,51,2019,Papua Barat
Sorong Selatan,47,2019,Papua Barat
Sorong,29,2019,Papua Barat
Raja Ampat,141,2019,Papua Barat
Tambrauw,16,2019,Papua Barat
Maybrat,45,2019,Papua Barat
Manokwari Selatan,55,2019,Papua Barat
Pegunungan Arfak,7,2019,Papua Barat
Merauke,30,2019,Papua
Jayawijaya,117,2019,Papua
Jayapura,57,2019,Papua
Nabire,123,2019,Papua
Kepulauan Yapen,36,2019,Papua
Biak Numfor,47,2019,Papua
Paniai,,2019,Papua
Puncak Jaya,9,2019,Papua
Mimika,240,2019,Papua
Boven Digoel,62,2019,Papua
Mappi,122,2019,Papua
Asmat,10,2019,Papua
Yahukimo,,2019,Papua
Pegunungan Bintang,98,2019,Papua
Tolikara,0,2019,Papua
Sarmi,214,2019,Papua
Keerom,57,2019,Papua
Waropen,133,2019,Papua
Supiori,28,2019,Papua
Mamberamo Raya,30,2019,Papua
Nduga,22,2019,Papua
Lanny Jaya,1,2019,Papua
Mamberamo Tengah,5,2019,Papua
Yalimo,,2019,Papua
Puncak,,2019,Jawa Barat
Dogiyai,44,2019,Papua
Intan Jaya,,2019,Papua
Deiyai,,2019,Papua
Simeulue,11,2020,Aceh
Aceh Singkil,5,2020,Aceh
Aceh Selatan,4,2020,Aceh
Aceh Tenggara,27,2020,Aceh
Aceh Timur,6,2020,Aceh
Aceh Tengah,0,2020,Aceh
Aceh Barat,4,2020,Aceh
Aceh Besar,86,2020,Aceh
Pidie,7,2020,Aceh
Bireuen,2,2020,Aceh
Aceh Utara,0,2020,Aceh
Aceh Barat Daya,2,2020,Aceh
Gayo Lues,7,2020,Aceh
Aceh Tamiang,7,2020,Aceh
Nagan Raya,23,2020,Aceh
Aceh Jaya,34,2020,Aceh
Bener Meriah,1,2020,Aceh
Pidie Jaya,11,2020,Aceh
Banda Aceh,112,2020,Aceh
Sabang,127,2020,Aceh
Langsa,54,2020,Aceh
Lhokseumawe,72,2020,Aceh
Subulussalam,2,2020,Aceh
Nias,6,2020,Sumatera Utara
Mandailing Natal,18,2020,Sumatera Utara
Tapanuli Selatan,1,2020,Sumatera Utara
Tapanuli Tengah,9,2020,Sumatera Utara
Tapanuli Utara,3,2020,Sumatera Utara
Toba Samosir,3,2020,Sumatera Utara
Labuhan Batu,11,2020,Sumatera Utara
Asahan,5,2020,Sumatera Utara
Simalungun,21,2020,Sumatera Utara
Dairi,2,2020,Sumatera Utara
Karo,4,2020,Sumatera Utara
Deli Serdang,35,2020,Sumatera Utara
Langkat,2,2020,Sumatera Utara
Nias Selatan,7,2020,Sumatera Utara
Humbang Hasundutan,17,2020,Sumatera Utara
Pakpak Bharat,18,2020,Sumatera Utara
Samosir,29,2020,Sumatera Utara
Serdang Bedagai,24,2020,Sumatera Utara
Batu Bara,20,2020,Sumatera Utara
Padang Lawas Utara,3,2020,Sumatera Utara
Padang Lawas,3,2020,Sumatera Utara
Labuhan Batu Selatan,10,2020,Sumatera Utara
Labuhan Batu Utara,8,2020,Sumatera Utara
Nias Utara,2,2020,Sumatera Utara
Nias Barat,20,2020,Sumatera Utara
Sibolga,9,2020,Sumatera Utara
Tanjung Balai,7,2020,Sumatera Utara
Pematang Siantar,11,2020,Sumatera Utara
Tebing Tinggi,84,2020,Sumatera Utara
Medan,80,2020,Sumatera Utara
Binjai,118,2020,Sumatera Utara
Padangsidimpuan,4,2020,Sumatera Utara
Gunungsitoli,10,2020,Sumatera Utara
Kepulauan Mentawai,11,2020,Sumatera Barat
Pesisir Selatan,31,2020,Sumatera Barat
Solok,15,2020,Sumatera Barat
Sijunjung,22,2020,Sumatera Barat
Tanah Datar,30,2020,Sumatera Barat
Padang Pariaman,16,2020,Sumatera Barat
Agam,31,2020,Sumatera Barat
Lima Puluh Kota,26,2020,Sumatera Barat
Pasaman,9,2020,Sumatera Barat
Solok Selatan,21,2020,Sumatera Barat
Dharmasraya,34,2020,Sumatera Barat
Pasaman Barat,4,2020,Sumatera Barat
Padang,161,2020,Sumatera Barat
Sawah Lunto,25,2020,Sumatera Barat
Padang Panjang,137,2020,Sumatera Barat
Bukittinggi,199,2020,Sumatera Barat
Payakumbuh,132,2020,Sumatera Barat
Pariaman,109,2020,Sumatera Barat
Kuantan Singingi,39,2020,Riau
Indragiri Hulu,35,2020,Riau
Indragiri Hilir,27,2020,Riau
Pelalawan,62,2020,Riau
Siak,41,2020,Riau
Kampar,74,2020,Riau
Rokan Hulu,36,2020,Riau
Bengkalis,107,2020,Riau
Rokan Hilir,35,2020,Riau
Kepulauan Meranti,28,2020,Riau
Pekanbaru,196,2020,Riau
Dumai,104,2020,Riau
Kerinci,5,2020,Jambi
Merangin,7,2020,Jambi
Sarolangun,9,2020,Jambi
Batang Hari,29,2020,Jambi
Muaro Jambi,16,2020,Jambi
Tanjung Jabung Timur,16,2020,Jambi
Tanjung Jabung Barat,38,2020,Jambi
Tebo,27,2020,Jambi
Bungo,31,2020,Jambi
Jambi,212,2020,Jambi
Sungai Penuh,65,2020,Jambi
Ogan Komering Ulu,17,2020,Sumatera Selatan
Ogan Komering Ilir,66,2020,Sumatera Selatan
Muara Enim,64,2020,Sumatera Selatan
Lahat,40,2020,Sumatera Selatan
Musi Rawas,41,2020,Sumatera Selatan
Musi Banyuasin,45,2020,Sumatera Selatan
Banyu Asin,54,2020,Sumatera Selatan
Ogan Komering Ulu Selatan,17,2020,Sumatera Selatan
Ogan Komering Ulu Timur,16,2020,Sumatera Selatan
Ogan Ilir,39,2020,Sumatera Selatan
Empat Lawang,25,2020,Sumatera Selatan
Penukal Abab Lematang Ilir,83,2020,Sumatera Selatan
Musi Rawas Utara,26,2020,Sumatera Selatan
Palembang,184,2020,Sumatera Selatan
Prabumulih,99,2020,Sumatera Selatan
Pagar Alam,11,2020,Sumatera Selatan
Lubuklinggau,67,2020,Sumatera Selatan
Bengkulu Selatan,21,2020,Bengkulu
Rejang Lebong,6,2020,Bengkulu
Bengkulu Utara,10,2020,Bengkulu
Kaur,9,2020,Bengkulu
Seluma,26,2020,Bengkulu
Mukomuko,36,2020,Bengkulu
Lebong,13,2020,Bengkulu
Kepahiang,4,2020,Bengkulu
Bengkulu Tengah,12,2020,Bengkulu
Bengkulu,92,2020,Bengkulu
Lampung Barat,8,2020,Lampung
Tanggamus,12,2020,Lampung
Lampung Selatan,15,2020,Lampung
Lampung Timur,6,2020,Lampung
Lampung Tengah,6,2020,Lampung
Lampung Utara,32,2020,Lampung
Way Kanan,3,2020,Lampung
Tulangbawang,21,2020,Lampung
Pesawaran,22,2020,Lampung
Pringsewu,26,2020,Lampung
Mesuji,9,2020,Lampung
Tulang Bawang Barat,16,2020,Lampung
Pesisir Barat,19,2020,Lampung
Bandar Lampung,146,2020,Lampung
Metro,28,2020,Lampung
Bangka,172,2020,Kepulauan Bangka Belitung
Belitung,148,2020,Kepulauan Bangka Belitung
Bangka Barat,70,2020,Kepulauan Bangka Belitung
Bangka Tengah,88,2020,Kepulauan Bangka Belitung
Bangka Selatan,66,2020,Kepulauan Bangka Belitung
Belitung Timur,121,2020,Kepulauan Bangka Belitung
Pangkal Pinang,225,2020,Kepulauan Bangka Belitung
Karimun,94,2020,Kepulauan Riau
Bintan,152,2020,Kepulauan Riau
Natuna,243,2020,Kepulauan Riau
Lingga,99,2020,Kepulauan Riau
Kepulauan Anambas,419,2020,Kepulauan Riau
Batam,166,2020,Kepulauan Riau
Tanjung Pinang,196,2020,Kepulauan Riau
Kep. Seribu,249,2020,DKI Jakarta
Jakarta Selatan,311,2020,D.K.I. Jakarta
Jakarta Timur,223,2020,D.K.I. Jakarta
Jakarta Pusat,243,2020,D.K.I. Jakarta
Jakarta Barat,218,2020,D.K.I. Jakarta
Jakarta Utara,205,2020,D.K.I. Jakarta
Bogor,62,2020,Jawa Barat
Sukabumi,51,2020,Jawa Barat
Cianjur,30,2020,Jawa Barat
Bandung,88,2020,Jawa Barat
Garut,54,2020,Jawa Barat
Tasikmalaya,28,2020,Jawa Barat
Ciamis,24,2020,Jawa Barat
Kuningan,53,2020,Jawa Barat
Cirebon,53,2020,Jawa Barat
Majalengka,31,2020,Jawa Barat
Sumedang,71,2020,Jawa Barat
Indramayu,71,2020,Jawa Barat
Subang,65,2020,Jawa Barat
Purwakarta,102,2020,Jawa Barat
Karawang,80,2020,Jawa Barat
Bekasi,72,2020,Jawa Barat
Bandung Barat,71,2020,Jawa Barat
Pangandaran,26,2020,Jawa Barat
Depok,236,2020,Jawa Barat
Cimahi,150,2020,Jawa Barat
Banjar,41,2020,Jawa Barat
Cilacap,7,2020,Jawa Tengah
Banyumas,28,2020,Jawa Tengah
Purbalingga,31,2020,Jawa Tengah
Banjarnegara,13,2020,Jawa Tengah
Kebumen,17,2020,Jawa Tengah
Purworejo,14,2020,Jawa Tengah
Wonosobo,13,2020,Jawa Tengah
Magelang,32,2020,Jawa Tengah
Boyolali,14,2020,Jawa Tengah
Klaten,22,2020,Jawa Tengah
Sukoharjo,73,2020,Jawa Tengah
Wonogiri,17,2020,Jawa Tengah
Karanganyar,27,2020,Jawa Tengah
Sragen,24,2020,Jawa Tengah
Grobogan,18,2020,Jawa Tengah
Blora,33,2020,Jawa Tengah
Rembang,6,2020,Jawa Tengah
Pati,9,2020,Jawa Tengah
Kudus,12,2020,Jawa Tengah
Jepara,10,2020,Jawa Tengah
Demak,40,2020,Jawa Tengah
Semarang,37,2020,Jawa Tengah
Temanggung,48,2020,Jawa Tengah
Kendal,24,2020,Jawa Tengah
Batang,18,2020,Jawa Tengah
Pekalongan,52,2020,Jawa Tengah
Pemalang,39,2020,Jawa Tengah
Tegal,30,2020,Jawa Tengah
Brebes,53,2020,Jawa Tengah
Surakarta,103,2020,Jawa Tengah
Salatiga,67,2020,Jawa Tengah
Kulon Progo,29,2020,D.I. Yogyakarta
Bantul,94,2020,D.I. Yogyakarta
Gunung Kidul,4,2020,D.I. Yogyakarta
Sleman,78,2020,D.I. Yogyakarta
Yogyakarta,57,2020,D.I. Yogyakarta
Pacitan,16,2020,Jawa Timur
Ponorogo,63,2020,Jawa Timur
Trenggalek,10,2020,Jawa Timur
Tulungagung,18,2020,Jawa Timur
Blitar,44,2020,Jawa Timur
Kediri,94,2020,Jawa Timur
Malang,27,2020,Jawa Timur
Lumajang,11,2020,Jawa Timur
Jember,14,2020,Jawa Timur
Banyuwangi,23,2020,Jawa Timur
Bondowoso,10,2020,Jawa Timur
Situbondo,20,2020,Jawa Timur
Probolinggo,24,2020,Jawa Timur
Pasuruan,36,2020,Jawa Timur
Sidoarjo,161,2020,Jawa Timur
Mojokerto,52,2020,Jawa Timur
Jombang,43,2020,Jawa Timur
Nganjuk,61,2020,Jawa Timur
Madiun,77,2020,Jawa Timur
Magetan,38,2020,Jawa Timur
Ngawi,43,2020,Jawa Timur
Bojonegoro,3,2020,Jawa Timur
Tuban,7,2020,Jawa Timur
Lamongan,25,2020,Jawa Timur
Gresik,38,2020,Jawa Timur
Bangkalan,10,2020,Jawa Timur
Sampang,14,2020,Jawa Timur
Pamekasan,27,2020,Jawa Timur
Sumenep,11,2020,Jawa Timur
Surabaya,113,2020,Jawa Timur
Batu,85,2020,Jawa Timur
Pandeglang,43,2020,Banten
Lebak,32,2020,Banten
Tangerang,137,2020,Banten
Serang,25,2020,Banten
Cilegon,78,2020,Banten
Tangerang Selatan,103,2020,Banten
Jembrana,19,2020,Bali
Tabanan,30,2020,Bali
Badung,148,2020,Bali
Gianyar,44,2020,Bali
Klungkung,50,2020,Bali
Bangli,12,2020,Bali
Karangasem,38,2020,Bali
Buleleng,23,2020,Bali
Denpasar,107,2020,Bali
Lombok Barat,18,2020,Nusa Tenggara Barat
Lombok Tengah,32,2020,Nusa Tenggara Barat
Lombok Timur,30,2020,Nusa Tenggara Barat
Sumbawa,13,2020,Nusa Tenggara Barat
Dompu,40,2020,Nusa Tenggara Barat
Bima,22,2020,Nusa Tenggara Barat
Sumbawa Barat,100,2020,Nusa Tenggara Barat
Lombok Utara,2,2020,Nusa Tenggara Barat
Mataram,99,2020,Nusa Tenggara Barat
Sumba Barat,7,2020,Nusa Tenggara Timur
Sumba Timur,2,2020,Nusa Tenggara Timur
Kupang,3,2020,Nusa Tenggara Timur
Timor Tengah Selatan,3,2020,Nusa Tenggara Timur
Timor Tengah Utara,12,2020,Nusa Tenggara Timur
Belu,1,2020,Nusa Tenggara Timur
Alor,16,2020,Nusa Tenggara Timur
Lembata,9,2020,Nusa Tenggara Timur
Flores Timur,10,2020,Nusa Tenggara Timur
Sikka,7,2020,Nusa Tenggara Timur
Ende,6,2020,Nusa Tenggara Timur
Ngada,12,2020,Nusa Tenggara Timur
Manggarai,3,2020,Nusa Tenggara Timur
Rote Ndao,9,2020,Nusa Tenggara Timur
Manggarai Barat,52,2020,Nusa Tenggara Timur
Sumba Tengah,,2020,Nusa Tenggara Timur
Sumba Barat Daya,0,2020,Nusa Tenggara Timur
Nagekeo,,2020,Nusa Tenggara Timur
Manggarai Timur,7,2020,Nusa Tenggara Timur
Sabu Raijua,21,2020,Nusa Tenggara Timur
Malaka,2,2020,Nusa Tenggara Timur
Sambas,30,2020,Kalimantan Barat
Bengkayang,28,2020,Kalimantan Barat
Landak,11,2020,Kalimantan Barat
Mempawah,30,2020,Kalimantan Barat
Sanggau,24,2020,Kalimantan Barat
Ketapang,32,2020,Kalimantan Barat
Sintang,10,2020,Kalimantan Barat
Kapuas Hulu,101,2020,Kalimantan Barat
Sekadau,45,2020,Kalimantan Barat
Melawi,20,2020,Kalimantan Barat
Kayong Utara,55,2020,Kalimantan Barat
Kubu Raya,60,2020,Kalimantan Barat
Pontianak,105,2020,Kalimantan Barat
Singkawang,154,2020,Kalimantan Barat
Kotawaringin Barat,29,2020,Kalimantan Tengah
Kotawaringin Timur,51,2020,Kalimantan Tengah
Kapuas,36,2020,Kalimantan Tengah
Barito Selatan,129,2020,Kalimantan Tengah
Barito Utara,76,2020,Kalimantan Tengah
Sukamara,62,2020,Kalimantan Tengah
Lamandau,52,2020,Kalimantan Tengah
Seruyan,92,2020,Kalimantan Tengah
Katingan,58,2020,Kalimantan Tengah
Pulang Pisau,13,2020,Kalimantan Tengah
Gunung Mas,34,2020,Kalimantan Tengah
Barito Timur,85,2020,Kalimantan Tengah
Murung Raya,66,2020,Kalimantan Tengah
Palangka Raya,65,2020,Kalimantan Tengah
Tanah Laut,28,2020,Kalimantan Selatan
Kotabaru,85,2020,Kalimantan Selatan
Barito Kuala,47,2020,Kalimantan Selatan
Tapin,71,2020,Kalimantan Selatan
Hulu Sungai Selatan,40,2020,Kalimantan Selatan
Hulu Sungai Tengah,34,2020,Kalimantan Selatan
Hulu Sungai Utara,24,2020,Kalimantan Selatan
Tabalong,36,2020,Kalimantan Selatan
Tanah Bumbu,34,2020,Kalimantan Selatan
Balangan,18,2020,Kalimantan Selatan
Banjarmasin,103,2020,Kalimantan Selatan
Banjar Baru,282,2020,Kalimantan Selatan
Paser,61,2020,Kalimantan Timur
Kutai Barat,29,2020,Kalimantan Timur
Kutai Kartanegara,69,2020,Kalimantan Timur
Kutai Timur,125,2020,Kalimantan Timur
Berau,293,2020,Kalimantan Timur
Penajam Paser Utara,78,2020,Kalimantan Timur
Mahakam Ulu,33,2020,Kalimantan Timur
Balikpapan,177,2020,Kalimantan Timur
Samarinda,142,2020,Kalimantan Timur
Bontang,179,2020,Kalimantan Timur
Malinau,19,2020,Kalimantan Utara
Bulungan,83,2020,Kalimantan Utara
Tana Tidung,251,2020,Kalimantan Utara
